FID,STATION_NA,DIVISION_H,STN_CODE,ADDRESS,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY
1,BAGENALSTOWN,WATERFORD,2805C,"Muinebheag, Kilree Street, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Muinebheag-Bagnelstown-.html,270533,161598,670468,661641,-6.957359,52.701304,0,059,9721212,Sub-District
2,BALLON,WATERFORD,2803G,"Ballon, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballon.html,282972,166461,682904,666502,-6.772182,52.743226,0,059,9159122,Sub-District
3,BORRIS,WATERFORD,3578E,"Borris, Co. Kilkenny",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Borris.html,272594,150554,672529,650598,-6.929311,52.601802,0,059,9773102,Sub-District
4,BUNCLODY,WEXFORD,3071F,"Carrigduff, Bunclody",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Bunclody.html,290559,156971,690490,657014,-6.662477,52.656758,0,053,9377102,Sub-District
5,CARLOW,WATERFORD,2800B,"Greenbank Road, Carlow, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Carlow.html,272198,177119,672133,677158,-6.929317,52.840527,1,059,9136620,District HQ
6,HACKETSTOWN,WATERFORD,2907F,"Hacketstown, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Hacketstown.html,297234,180208,697164,680246,-6.556978,52.864342,0,059,6471202,Sub-District
7,MYSHALL,WATERFORD,2804E,"Myshal, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Myshall.html,282654,160255,682586,660297,-6.778446,52.68752,0,059,9157622,Sub-District
8,RATHVILLY,WATERFORD,2908D,"The Green, Main Street, Rathvilly, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Rathvilly.html,287882,181820,687813,681858,-6.695366,52.880429,0,059,9161122,Sub-District
9,TULLOW,WATERFORD,2910F,"Main Street, Tullow, Co. Carlow",CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Tullow.html,285472,173250,685404,673290,-6.733401,52.803828,0,059,9151222,Sub-District
10,ARVAGH,DROGHEDA,6802M,"Main Street, Arva, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Arva.html,227396,297403,627341,797416,-7.583729,53.925376,0,049,4335302,Sub-District
11,BAILIEBOROUGH,DROGHEDA,6870E,"Barrack Street, Baileboro, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Bailieboro.html,267755,296683,667691,796696,-6.96963,53.915212,1,042,9694570,District HQ
12,BALLINAGH,DROGHEDA,6801B,"Main Street, Ballinagh, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballinagh.html,238828,298122,638771,798135,-7.409629,53.93111,0,049,4337102,Sub-District
13,BALLYCONNELL,DROGHEDA,6900M,"Doon, Ballyconnell, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballyconnell.html,227500,318956,627445,818964,-7.580204,54.118998,1,049,9525580,Sub-District
14,BALLYJAMESDUFF,DROGHEDA,6877B,"Granard Road, Ballyjamesduff, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballyjamesduff.html,252106,290682,652046,790697,-7.208767,53.86311,0,049,8544102,Sub-District
15,BELTURBET,DROGHEDA,6901K,"Main Street, Belturbet, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Belturbet.html,236512,317033,636456,817042,-7.442615,54.101166,0,049,9522122,Sub-District
16,BLACKLION,DROGHEDA,6377M,"Main Street, Blacklion, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Blacklion.html,208111,338081,608061,838085,-7.876192,54.291479,0,071,9853002,Sub-District
17,CAVAN,DROGHEDA,6800D,"Franham Street, Cavan, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Cavan.html,241968,305076,641910,805087,-7.360879,53.99333,1,049,4368800,District HQ
18,COOTEHILL,DROGHEDA,6876D,"Station Road, Cootehill, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Cootehill.html,260357,314337,660295,814347,-7.078703,54.074708,0,049,5552105,Sub-District
19,DOWRA,DROGHEDA,6376B,"Main Street, Dowra, Co. Cavan",CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Dowra.html,199053,326825,599005,826832,-8.01525,54.190428,0,071,9643002,Sub-District
